timestamp,activity,id_model,id_exec,action,n_action
2019-12-23 16:19:31.651,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_MoveCaretCommand,11
2019-12-23 16:19:31.651,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_MoveCaretCommand,11
2019-12-23 16:20:12.409,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecuinewWizard,1
2019-12-23 16:20:12.409,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecuinewWizard,1
2019-12-23 16:20:29.257,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccommandsdeleteResources,1
2019-12-23 16:20:29.257,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccommandsdeleteResources,1
2019-12-23 16:26:15.529,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ShellBoundsCommand,7
2019-12-23 16:26:15.530,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ShellBoundsCommand,7
2019-12-23 16:27:04.786,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ShellBoundsCommand,8
2019-12-23 16:27:04.787,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ShellBoundsCommand,8
2019-12-23 16:38:59.462,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_FileOpenCommand,4
2019-12-23 16:38:59.462,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_FileOpenCommand,4
2019-12-23 16:38:59.648,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_MoveCaretCommand,12
2019-12-23 16:38:59.648,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_MoveCaretCommand,12
2019-12-23 16:39:02.378,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_MoveCaretCommand,13
2019-12-23 16:39:02.378,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_MoveCaretCommand,13
2019-12-23 16:39:04.321,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,1
2019-12-23 16:39:04.321,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,1
2019-12-23 16:39:09.235,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,2
2019-12-23 16:39:10.261,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,2
2019-12-23 16:39:10.771,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,1
2019-12-23 16:39:11.919,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,1
2019-12-23 16:39:12.241,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,3
2019-12-23 16:39:16.696,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,3
2019-12-23 16:39:16.989,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,4
2019-12-23 16:39:16.989,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,4
2019-12-23 16:39:17.532,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,5
2019-12-23 16:39:20.709,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,5
2019-12-23 16:39:23.059,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,6
2019-12-23 16:39:23.059,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,6
2019-12-23 16:39:23.896,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,7
2019-12-23 16:39:23.896,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,7
2019-12-23 16:39:24.081,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,8
2019-12-23 16:39:24.081,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,8
2019-12-23 16:39:26.481,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,9
2019-12-23 16:39:35.515,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,9
2019-12-23 16:39:36.016,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecfilesave,1
2019-12-23 16:39:36.016,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecfilesave,1
2019-12-23 16:39:37.701,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,10
2019-12-23 16:39:37.701,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,10
2019-12-23 16:39:37.918,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,11
2019-12-23 16:39:37.918,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,11
2019-12-23 16:39:39.694,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,2
2019-12-23 16:39:39.694,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,2
2019-12-23 16:39:41.737,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,12
2019-12-23 16:39:41.737,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,12
2019-12-23 16:39:44.030,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,13
2019-12-23 16:39:46.864,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,13
2019-12-23 16:39:47.433,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,3
2019-12-23 16:39:47.433,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,3
2019-12-23 16:39:47.792,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,14
2019-12-23 16:39:47.792,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,14
2019-12-23 16:39:48.295,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,1
2019-12-23 16:39:48.295,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,1
2019-12-23 16:39:48.699,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccontentAssistproposals,1
2019-12-23 16:39:48.699,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccontentAssistproposals,1
2019-12-23 16:39:51.207,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,2
2019-12-23 16:39:51.207,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,2
2019-12-23 16:39:51.219,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,15
2019-12-23 16:39:51.219,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,15
2019-12-23 16:39:52.418,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,16
2019-12-23 16:39:52.418,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,16
2019-12-23 16:39:52.967,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,1
2019-12-23 16:39:52.967,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,1
2019-12-23 16:39:53.789,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,17
2019-12-23 16:39:54.913,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,17
2019-12-23 16:39:56.559,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,18
2019-12-23 16:39:56.559,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,18
2019-12-23 16:39:57.956,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,19
2019-12-23 16:39:58.577,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,19
2019-12-23 16:39:58.899,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,4
2019-12-23 16:39:59.229,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,4
2019-12-23 16:39:59.493,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,20
2019-12-23 16:39:59.493,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,20
2019-12-23 16:39:59.763,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,21
2019-12-23 16:40:02.551,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,21
2019-12-23 16:40:02.782,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,3
2019-12-23 16:40:02.782,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,3
2019-12-23 16:40:02.828,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,4
2019-12-23 16:40:02.828,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,4
2019-12-23 16:40:02.829,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccontentAssistproposals,2
2019-12-23 16:40:02.829,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccontentAssistproposals,2
2019-12-23 16:40:04.254,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,22
2019-12-23 16:40:04.254,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,22
2019-12-23 16:40:04.822,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,2
2019-12-23 16:40:04.822,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,2
2019-12-23 16:40:05.668,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,1
2019-12-23 16:40:05.668,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,1
2019-12-23 16:40:06.433,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,3
2019-12-23 16:40:06.433,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,3
2019-12-23 16:40:07.210,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,23
2019-12-23 16:40:07.210,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,23
2019-12-23 16:40:07.549,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,24
2019-12-23 16:40:07.549,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,24
2019-12-23 16:40:08.177,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandLINE_UP,1
2019-12-23 16:40:08.177,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandLINE_UP,1
2019-12-23 16:40:08.500,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,4
2019-12-23 16:40:09.771,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,4
2019-12-23 16:40:10.646,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,25
2019-12-23 16:40:14.019,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,25
2019-12-23 16:40:14.646,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandLINE_DOWN,1
2019-12-23 16:40:14.646,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandLINE_DOWN,1
2019-12-23 16:40:21.856,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,26
2019-12-23 16:40:27.507,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,26
2019-12-23 16:40:29.744,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,27
2019-12-23 16:40:29.975,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,27
2019-12-23 16:40:31.193,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,5
2019-12-23 16:40:31.613,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,5
2019-12-23 16:40:32.756,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,28
2019-12-23 16:40:40.268,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,28
2019-12-23 16:40:47.836,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,5
2019-12-23 16:40:47.836,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,5
2019-12-23 16:40:48.658,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,29
2019-12-23 16:40:48.658,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,29
2019-12-23 16:40:50.393,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,30
2019-12-23 16:40:53.504,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,30
2019-12-23 16:40:53.970,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,5
2019-12-23 16:40:53.970,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,5
2019-12-23 16:40:54.147,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccontentAssistproposals,3
2019-12-23 16:40:54.147,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_eccontentAssistproposals,3
2019-12-23 16:41:00.419,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,6
2019-12-23 16:41:00.419,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_AssistCommand,6
2019-12-23 16:41:00.458,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,31
2019-12-23 16:41:00.458,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,31
2019-12-23 16:41:01.251,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,2
2019-12-23 16:41:01.251,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,2
2019-12-23 16:41:04.248,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,32
2019-12-23 16:41:06.034,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,32
2019-12-23 16:41:06.378,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,6
2019-12-23 16:41:06.378,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,6
2019-12-23 16:41:06.547,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,33
2019-12-23 16:41:09.511,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,33
2019-12-23 16:41:10.404,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,7
2019-12-23 16:41:13.840,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,7
2019-12-23 16:41:14.600,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,34
2019-12-23 16:41:15.453,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,34
2019-12-23 16:41:16.003,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,8
2019-12-23 16:41:16.182,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,8
2019-12-23 16:41:16.885,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,35
2019-12-23 16:41:28.631,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,35
2019-12-23 16:41:29.412,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,6
2019-12-23 16:41:29.644,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,6
2019-12-23 16:41:30.707,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,36
2019-12-23 16:41:30.707,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,36
2019-12-23 16:41:31.392,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecfilesave,2
2019-12-23 16:41:31.392,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecfilesave,2
2019-12-23 16:41:35.157,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,37
2019-12-23 16:41:35.157,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,37
2019-12-23 16:41:38.356,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,9
2019-12-23 16:41:39.064,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,9
2019-12-23 16:41:39.558,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,3
2019-12-23 16:41:39.978,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,3
2019-12-23 16:41:40.295,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,10
2019-12-23 16:41:42.802,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,10
2019-12-23 16:41:43.448,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,38
2019-12-23 16:41:46.580,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,38
2019-12-23 16:41:47.201,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,11
2019-12-23 16:41:47.390,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,11
2019-12-23 16:41:47.612,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,39
2019-12-23 16:41:48.336,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,39
2019-12-23 16:41:50.917,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,40
2019-12-23 16:41:51.347,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,40
2019-12-23 16:41:51.838,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,12
2019-12-23 16:41:51.838,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,12
2019-12-23 16:41:53.171,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,41
2019-12-23 16:41:54.920,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,41
2019-12-23 16:41:56.770,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,7
2019-12-23 16:41:57.313,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_NEXT,7
2019-12-23 16:41:59.279,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandLINE_UP,2
2019-12-23 16:42:00.012,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandLINE_UP,2
2019-12-23 16:42:00.533,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,4
2019-12-23 16:42:00.533,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandCOLUMN_PREVIOUS,4
2019-12-23 16:42:00.717,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,42
2019-12-23 16:42:00.717,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,42
2019-12-23 16:42:01.118,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,13
2019-12-23 16:42:01.118,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecstyledTextCommandDELETE_PREVIOUS,13
2019-12-23 16:42:01.252,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,43
2019-12-23 16:42:01.252,end_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_InsertStringCommand,43
2019-12-23 16:42:02.055,begin_of_activity,idmodel_706218finale,idexec_70621820191223160259083,act_ecfilesave,3
